mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 0.8818 0.6263 0.2302 0.2343 0.1548 0.1393 0.6149 0.1053 0.1053 0 0.0006962 0.002282 0 0 0.002348 0.0006805 0 0 0.001727 0.00103 0 0.7662 0.2338 0.2247 0.7753 0.3735 0.6265 32.1568 34.1475 18.8414 0.005214 0.005214 -66752.0287
EM 1.813 0.6871 0.171 0.2212 0.1293 0.0917 0.6997 0.1021 0.1021 0 0.000786 0.002454 0 0 0.002121 0.0007462 0 0 0.001791 0.001237 0 0.7574 0.2426 0.2603 0.7397 0.4085 0.5915 33.6195 27.5778 19.4655 0.005222 0.005222 -66312.4031
EM 2.732 0.7273 0.1332 0.2094 0.1143 0.06331 0.7525 0.1016 0.1016 0 0.0008856 0.002751 0 0 0.002317 0.0009072 0 0 0.001984 0.001448 0 0.7564 0.2436 0.2813 0.7187 0.422 0.578 37.5895 28.6045 21.6632 0.005264 0.005264 -66106.3652
EM 3.64 0.7541 0.1094 0.1998 0.1059 0.0461 0.7847 0.1019 0.1019 0 0.000962 0.002983 0 0 0.002562 0.001058 0 0 0.002137 0.001593 0 0.7561 0.2439 0.2922 0.7078 0.4271 0.5729 40.7364 30.9052 23.4065 0.005291 0.005291 -66007.0598
EM 4.591 0.7723 0.09395 0.1924 0.1013 0.03529 0.8047 0.1024 0.1024 0 0.001016 0.003148 0 0 0.002756 0.001171 0 0 0.002263 0.001702 0 0.756 0.244 0.2981 0.7019 0.4293 0.5707 42.9883 32.8777 24.8123 0.005305 0.005305 -65957.2425
EM 5.533 0.785 0.08356 0.1868 0.09911 0.02824 0.8173 0.103 0.103 0 0.001054 0.003264 0 0 0.002891 0.001247 0 0 0.002367 0.001788 0 0.7559 0.2441 0.3014 0.6986 0.4304 0.5696 44.5713 34.2781 25.9758 0.005311 0.005311 -65931.1898
EM 6.421 0.794 0.07635 0.1825 0.09825 0.02346 0.8254 0.1034 0.1034 0 0.001082 0.003347 0 0 0.002983 0.001298 0 0 0.002453 0.001858 0 0.7557 0.2443 0.3033 0.6967 0.431 0.569 45.6851 35.2454 26.9358 0.005314 0.005314 -65916.9695
EM 7.299 0.8007 0.07119 0.1792 0.09816 0.0201 0.8306 0.1037 0.1037 0 0.001102 0.003406 0 0 0.003046 0.001333 0 0 0.002524 0.001914 0 0.7556 0.2444 0.3044 0.6956 0.4313 0.5687 46.4734 35.9233 27.7215 0.005316 0.005316 -65908.8788
EM 8.147 0.8055 0.0674 0.1768 0.09852 0.01768 0.8341 0.1039 0.1039 0 0.001117 0.003449 0 0 0.00309 0.001356 0 0 0.002582 0.001959 0 0.7554 0.2446 0.305 0.695 0.4314 0.5686 47.0366 36.4093 28.3608 0.005317 0.005317 -65904.0974
EM 8.992 0.8092 0.06456 0.1749 0.09908 0.01588 0.8364 0.1041 0.1041 0 0.001128 0.003481 0 0 0.003122 0.001373 0 0 0.002629 0.001995 0 0.7552 0.2448 0.3054 0.6946 0.4314 0.5686 47.4444 36.7652 28.8793 0.005318 0.005318 -65901.1767
thinning 1.058 0.8092 0.06456 0.1749 0.09908 0.01588 0.8364 0.1041 0.1041 0 0.001128 0.003481 0 0 0.003122 0.001373 0 0 0.002629 0.001995 0 0.7552 0.2448 0.3054 0.6946 0.4314 0.5686 47.4444 36.7652 28.8793 0.005318 0.005318 -65882.1614
phasehunt 2.367 0.8092 0.06456 0.1749 0.09908 0.01588 0.8364 0.1041 0.1041 0 0.001128 0.003481 0 0 0.003122 0.001373 0 0 0.002629 0.001995 0 0.7552 0.2448 0.3054 0.6946 0.4314 0.5686 47.4444 36.7652 28.8793 0.005318 0.005318 -64540.8957
