mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 3.722 0.5156 0.1565 0.2423 0.1396 0.2421 0.7039 0.113 0.113 0 0.002654 0.00076 0 0 0.002136 0.0007977 0 0 0.001171 0.002053 0 0.2226 0.7774 0.2719 0.7281 0.6368 0.3632 38.9174 26.943 22.5251 0.006022 0.006022 -69966.1305
EM 7.312 0.5899 0.119 0.2362 0.1209 0.1738 0.7601 0.1094 0.1094 0 0.002674 0.0008456 0 0 0.001965 0.0007757 0 0 0.001234 0.002089 0 0.2402 0.7598 0.283 0.717 0.6286 0.3714 36.9243 24.1478 22.8167 0.006064 0.006064 -69610.5567
EM 11.87 0.645 0.0951 0.2281 0.1106 0.1269 0.7943 0.1083 0.1083 0 0.002954 0.001002 0 0 0.002128 0.000852 0 0 0.001394 0.002303 0 0.2532 0.7468 0.2859 0.7141 0.623 0.377 39.2251 25.9945 25.1024 0.006146 0.006146 -69428.9111
EM 15.28 0.6848 0.07954 0.2198 0.1052 0.09543 0.8153 0.1082 0.1082 0 0.00323 0.001134 0 0 0.002355 0.0009483 0 0 0.001551 0.002516 0 0.2599 0.7401 0.2871 0.7129 0.6186 0.3814 42.1164 28.7098 27.3875 0.006203 0.006203 -69331.1652
EM 20.27 0.7136 0.06905 0.2124 0.1026 0.07402 0.8284 0.1085 0.1085 0 0.003454 0.001234 0 0 0.002561 0.001032 0 0 0.001678 0.002682 0 0.2632 0.7368 0.2873 0.7127 0.6151 0.3849 44.6543 31.2084 29.1725 0.006237 0.006237 -69276.4467
EM 23.5 0.7348 0.06172 0.206 0.1016 0.05919 0.8366 0.1088 0.1088 0 0.003627 0.001307 0 0 0.00273 0.0011 0 0 0.001774 0.002803 0 0.2649 0.7351 0.2872 0.7128 0.6124 0.3876 46.7021 33.2841 30.4828 0.006255 0.006255 -69244.6271
EM 26.85 0.7506 0.05643 0.2008 0.1016 0.04867 0.8419 0.1091 0.1091 0 0.00376 0.001361 0 0 0.002863 0.001152 0 0 0.001848 0.002894 0 0.2657 0.7343 0.2868 0.7132 0.6103 0.3897 48.3115 34.9481 31.457 0.006266 0.006266 -69225.4446
EM 30.86 0.7625 0.05251 0.1965 0.1022 0.04104 0.8453 0.1093 0.1093 0 0.003861 0.0014 0 0 0.002968 0.001191 0 0 0.001906 0.002963 0 0.2661 0.7339 0.2865 0.7135 0.6086 0.3914 49.57 36.2562 32.2046 0.006272 0.006272 -69213.5121
EM 34.58 0.7716 0.04953 0.193 0.1029 0.0354 0.8475 0.1095 0.1095 0 0.003939 0.001429 0 0 0.003048 0.001222 0 0 0.001952 0.003017 0 0.2663 0.7337 0.2861 0.7139 0.6072 0.3928 50.5595 37.2752 32.7936 0.006276 0.006276 -69205.8956
EM 38.95 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -69200.9334
thinning 6.418 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -69188.038
phasehunt 9.021 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -67550.3628
EM 3.957 0.7988 0.04423 0.1742 0.09625 0.02701 0.8595 0.1059 0.1059 0 0.003538 0.001329 0 0 0.002745 0.001169 0 0 0.001622 0.002572 0 0.2731 0.7269 0.2987 0.7013 0.6133 0.3867 44.6106 32.7009 27.9659 0.006125 0.006125 -67510.3596
EM 7.91 0.8114 0.04267 0.1643 0.09312 0.02433 0.8642 0.1043 0.1043 0 0.003472 0.001308 0 0 0.002711 0.001158 0 0 0.001548 0.002451 0 0.2736 0.7264 0.2992 0.7008 0.6128 0.3872 43.7218 32.2623 26.6365 0.006157 0.006157 -67500.9102
EM 11.35 0.8196 0.04174 0.1579 0.09183 0.02243 0.8664 0.1037 0.1037 0 0.003486 0.001314 0 0 0.00273 0.001165 0 0 0.001543 0.002437 0 0.2738 0.7262 0.2991 0.7009 0.6123 0.3877 43.8737 32.4931 26.4851 0.006197 0.006197 -67497.679
EM 14.94 0.8253 0.04114 0.1536 0.09136 0.02104 0.8675 0.1034 0.1034 0 0.003511 0.001324 0 0 0.002754 0.001174 0 0 0.001552 0.002447 0 0.2739 0.7261 0.2989 0.7011 0.6119 0.3881 44.1898 32.7956 26.5981 0.006224 0.006224 -67496.2626
EM 18.2 0.8294 0.04071 0.1507 0.09125 0.01998 0.868 0.1033 0.1033 0 0.003532 0.001332 0 0 0.002773 0.001181 0 0 0.001563 0.002461 0 0.2738 0.7262 0.2986 0.7014 0.6115 0.3885 44.463 33.0459 26.7404 0.006238 0.006238 -67495.535
EM 22.32 0.8323 0.04041 0.1485 0.0913 0.01917 0.8683 0.1033 0.1033 0 0.003547 0.001337 0 0 0.002788 0.001186 0 0 0.001572 0.002472 0 0.2737 0.7263 0.2984 0.7016 0.6112 0.3888 44.6635 33.2333 26.8607 0.006245 0.006245 -67495.1246
EM 25.98 0.8344 0.04017 0.147 0.09141 0.01854 0.8684 0.1033 0.1033 0 0.003558 0.00134 0 0 0.002798 0.001189 0 0 0.001579 0.00248 0 0.2736 0.7264 0.2982 0.7018 0.611 0.389 44.8036 33.3706 26.954 0.006249 0.006249 -67494.8808
EM 30.12 0.836 0.04 0.1459 0.09154 0.01805 0.8685 0.1033 0.1033 0 0.003564 0.001342 0 0 0.002806 0.001191 0 0 0.001585 0.002487 0 0.2735 0.7265 0.298 0.702 0.6108 0.3892 44.9011 33.4715 27.0252 0.006251 0.006251 -67494.7318
EM 34.38 0.8372 0.03986 0.1451 0.09166 0.01766 0.8685 0.1033 0.1033 0 0.003569 0.001343 0 0 0.002811 0.001193 0 0 0.001589 0.002492 0 0.2734 0.7266 0.2979 0.7021 0.6106 0.3894 44.9698 33.5467 27.0798 0.006251 0.006251 -67494.6392
EM 38.07 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67494.5808
thinning 6.48 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67464.014
phasehunt 6.891 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67451.5341
EM 4.546 0.8433 0.03987 0.1396 0.08987 0.0171 0.8703 0.1031 0.1031 0 0.003598 0.001348 0 0 0.002814 0.001197 0 0 0.001593 0.002498 0 0.2725 0.7275 0.2985 0.7015 0.6107 0.3893 45.4336 33.5462 27.1489 0.006282 0.006282 -67450.0834
EM 8.477 0.8468 0.04006 0.1363 0.08879 0.01692 0.8712 0.1031 0.1031 0 0.003613 0.001355 0 0 0.002823 0.001201 0 0 0.001597 0.002504 0 0.2727 0.7273 0.2984 0.7016 0.6106 0.3894 45.6109 33.6589 27.213 0.006297 0.006297 -67449.4534
EM 12.61 0.8492 0.04026 0.134 0.08814 0.01678 0.8716 0.1031 0.1031 0 0.003623 0.001359 0 0 0.00283 0.001203 0 0 0.0016 0.002509 0 0.2727 0.7273 0.2983 0.7017 0.6106 0.3894 45.7327 33.7517 27.2652 0.006304 0.006304 -67449.1369
EM 16.17 0.8509 0.04045 0.1324 0.08774 0.01667 0.8718 0.1032 0.1032 0 0.003629 0.001361 0 0 0.002835 0.001204 0 0 0.001603 0.002512 0 0.2727 0.7273 0.2982 0.7018 0.6105 0.3895 45.8026 33.8131 27.2994 0.006307 0.006307 -67448.9619
